,pearson_abs,spearman_rho,spearman_pval
subscription_length,0.07873819714786794,0.07709687168100932,6.047352496921169e-78
vehicle_age,0.0281721259290211,0.028062959016687435,1.0902676794897367e-11
customer_age,0.02223425102671203,0.021115012732371517,3.195850473446837e-07
region_density,0.01780833704585342,0.010592785225790411,0.010344850969283996
cylinder,0.013433592933080427,0.01343359293308077,0.001146831845190131
width,0.009947051749073512,0.007658314289688746,0.0637759824145794
power_bhp,0.007697556553227858,0.006456106853060718,0.11811511443498456
displacement,0.00767784769226515,0.00779907695102477,0.05905063137619251
length,0.006494537973319103,0.007287767606671922,0.07772404879447743
torque_rpm,0.004780505130667618,0.005745782136450833,0.1642880713752301
torque_nm,0.00429411625136125,0.00717026432508967,0.08263387711936412
gross_weight,0.003894402920704151,0.00523467020857211,0.20512860452856052
ncap_rating,0.0038000709474757272,0.0033528961413330197,0.4170327984125557
airbags,0.002788793866919314,0.0029971578511708633,0.46816268795104266
turning_radius,0.0027242229291588906,0.0041192022356602385,0.3187314212938185
power_rpm,9.530900666269269e-05,0.002812696253213315,0.4959841192560469
