,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,cv_%
subscription_length,58592.0,6.11,4.14,0.0,2.1,5.7,10.4,14.0,0.053,-1.498,67.8
vehicle_age,58592.0,1.39,1.13,0.0,0.4,1.2,2.2,20.0,1.094,5.301,81.7
customer_age,58592.0,44.82,6.94,35.0,39.0,44.0,49.0,75.0,0.66,-0.142,15.5
region_density,58592.0,18826.86,17660.17,290.0,6112.0,8794.0,27003.0,73430.0,1.674,2.589,93.8
displacement,58592.0,1162.36,266.3,796.0,796.0,1197.0,1493.0,1498.0,-0.105,-1.342,22.9
cylinder,58592.0,3.63,0.48,3.0,3.0,4.0,4.0,4.0,-0.525,-1.724,13.3
turning_radius,58592.0,4.85,0.23,4.5,4.6,4.8,5.0,5.2,0.421,-1.177,4.7
length,58592.0,3850.48,311.46,3445.0,3445.0,3845.0,3995.0,4300.0,0.146,-1.209,8.1
width,58592.0,1672.23,112.09,1475.0,1515.0,1735.0,1755.0,1811.0,-0.488,-1.444,6.7
gross_weight,58592.0,1385.28,212.42,1051.0,1185.0,1335.0,1510.0,1720.0,0.547,-1.024,15.3
torque_nm,58592.0,134.45,73.15,60.0,60.0,113.0,200.0,250.0,0.672,-1.165,54.4
torque_rpm,58592.0,3533.18,725.96,1750.0,2750.0,3500.0,4400.0,4400.0,-0.297,-0.691,20.5
power_bhp,58592.0,78.98,27.7,40.36,40.36,88.5,97.89,118.36,-0.237,-1.386,35.1
power_rpm,58592.0,5307.16,916.77,3600.0,4000.0,6000.0,6000.0,6000.0,-0.755,-1.275,17.3
airbags,58592.0,3.14,1.83,1.0,2.0,2.0,6.0,6.0,0.906,-1.136,58.4
ncap_rating,58592.0,1.76,1.39,0.0,0.0,2.0,3.0,5.0,0.085,-0.776,79.0
